year,genus,Site_location,LONGITUDE,LATITUDE,CDD,MAP,ratio,MAT,Elevation,Insolation
2013,Protea,Bains_Kloof,19.10092,-33.62864,40.1,1006.025775,0.652927688,14.86753897,601,1291388.732
2013,Protea,Bains_Kloof2,19.10114,-33.62932,40.1,1006.025775,0.652927688,14.86753897,606,1245861.904
2011,Pelargonium,Baviaanskloof:_Bo_Kloof_Farm,23.91277,-33.51876,61.45,390.8575027,-0.367627817,16.38607684,620,1412918.96
2011,Pelargonium,Baviaanskloof:_Hill_track_1,24.12274,-33.63966,67.8,288.1914162,-0.342062569,14.9915481,902,1585774.397
2011,Pelargonium,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,67.6,257.4931625,-0.307381275,14.76183777,1000,1600126.63
2011,Pelargonium,Baviaanskloof:_main_rd,24.13416,-33.66244,72.45,258.9813164,-0.338351858,14.95057497,1037,1580028.254
2011,Protea,Baviaanskloof_1,24.11971,-33.697,69.2,255.495591,-0.313423302,15.03740425,1074,1273213.715
2011,Protea,Baviaanskloof_2,24.13613,-33.69302,64,272.1687744,-0.305419017,15.12249515,1061,1343964.708
2011,Protea,Baviaanskloof_3,24.08711,-33.52221,84,264.7415245,-0.360532323,14.99201557,1203,1647938.944
2011,Protea,Baviaanskloof_4,24.08932,-33.52353,84,264.7415245,-0.360532323,14.99201557,1236,1631862.036
2011,Protea,Baviaanskloof_5,24.08797,-33.5228,84,264.7415245,-0.360532323,14.99201557,1213,1548131.468
2011,Pelargonium,Baviaanskloof_succulent_thicket,24.04194,-33.55142,60.3,399.2248138,-0.362794031,17.37676793,464,1276211.024
2011,Pelargonium,Baviaanskloof_top,24.11703,-33.6973,69.2,255.495591,-0.313423302,15.03740425,1062,1308341.25
2011,Pelargonium,Baviaanskloof_track_3,23.75782,-33.52134,45.25,433.7245697,-0.31663815,14.82827781,737,1201963.379
2011,Protea,Bergfontein_1,21.45853,-34.02136,27,691.1222107,-0.081115505,17.91870442,287,1377703.617
2011,Protea,Bergfontein_2,21.41108,-34.03844,30.7,572.2483139,-0.044405364,17.8925279,255,1310868.24
2013,Protea,Blesberg1,22.68793,-33.41913,49.95,372.0125198,0.154640265,12.25002025,1962,1205427.481
2013,Protea,Blesberg2,22.68694,-33.41757,49.95,372.0125198,0.154640265,12.25002025,2049,1715555.168
2013,Protea,Blesberg3,22.689,-33.41533,55.7,331.5446434,0.145101278,11.14776607,1925,1800070.878
2013,Protea,Blesberg4,22.69119,-33.42038,49.95,372.0125198,0.154640265,12.25002025,1758,1251085.397
2012,Pelargonium,Botterkloof Pass,19.26209,-31.81773,78.35,263.6031494,0.70688218,17.33157563,660,1455929.493
2011,Pelargonium,Cederberg_NR:_Rd_from_Algeria_to_Cederberg_3,19.16973,-32.45494,56.25,465.1872437,0.607573866,12.84220271,919,1508550.926
2011,Pelargonium,Citrusdal:_Boschkloof_1,19.06098,-32.56574,60,483.294841,0.615845187,17.93912599,282,1372190.46
2011,Pelargonium,Citrusdal:_R303_Elandskloof_turnoff,19.11622,-32.62826,56.95,492.975264,0.579312621,15.43250126,702,1387020.182
2012,Pelargonium,De Hoop NR: Main Rd 8,20.42171,-34.44291,31.3,533.8735855,0.076220219,17.08819914,41,1291850.082
2012,Pelargonium,De Hoop NR: Potberg - Klipspringer Trail 3,20.54235,-34.37934,29.6,610.6667191,0.276342146,17.59757052,231,1264574.722
2012,Pelargonium,De Hoop NR: Potberg - Klipspringer Trail 4,20.53601,-34.37714,29.6,610.6667191,0.081372893,17.59757052,189,1338672.278
2011,Protea,De_Hoop,20.42117,-34.44317,31.3,533.8735855,0.076220219,17.0881749,51,1312281.332
2011,Pelargonium,De_Hoop_NR::_Lekkerwater_1,20.63054,-34.43919,29.85,585.4228714,0.040153616,17.43288611,101,1330729.854
2011,Pelargonium,De_Hoop_NR:_Lekkerwater_2,20.6472,-34.4278,30.05,579.711142,0.028398164,17.74991338,236,1379312.873
2011,Pelargonium,De_Hoop_NR:_Main_Rd_4,20.41636667,-34.42931667,30.25,562.0240585,0.079707169,17.08755184,76,1284473.432
2011,Pelargonium,De_Hoop_NR:_Main_Rd_6,20.41888333,-34.43446667,31.3,533.8735855,0.076220219,17.0881749,55,1333695.505
2011,Pelargonium,De_Hoop_NR:_Main_Rd_8,20.42115,-34.44343333,31.3,533.8735855,0.076220219,17.0881749,50,1312528.978
2011,Pelargonium,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_2,20.54276,-34.37864,29.6,610.6667191,0.081372893,17.59755487,263,985724.2891
2011,Pelargonium,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_3,20.5373,-34.3738,29.6,610.6667191,0.081372893,17.59755487,208,1302868.265
2011,Pelargonium,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,29.6,610.6667191,0.081372893,17.59755487,188,1316058.285
2011,Pelargonium,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,29.6,610.6667191,0.081372893,17.59755487,325,1372242.375
2011,Protea,Garcia_Pass_1,21.21965,-33.9572,29.75,590.2845627,-0.128385414,17.053022,521,1289221.839
2011,Protea,Garcia_Pass_2,21.2198,-33.96794,25.5,755.8304932,-0.128261201,17.27450995,495,1409885.714
2011,Protea,Garcia_Pass_3,21.18967,-33.95616,25,817.0342987,-0.130465796,17.0024168,1023,1205172.52
2011,Protea,Garcia_Pass_4,21.19069,-33.95744,25,817.0342987,-0.130465796,17.0024168,1000,1556546.955
2011,Protea,Garcia_Pass_5,21.20104,-33.93095,29.3,620.6014465,-0.103210617,17.37041098,498,1427262.565
2011,Protea,Garcia_Pass_6,21.22878,-33.94953,28.5,637.5956085,-0.125063397,17.0221652,555,1386035.04
2011,Pelargonium,Houw_Hoek_Pass,19.16294,-34.21029,24.4,1180.08609,0.4076303,15.70180311,244,1453475.004
2011,Protea,Houwhoek_1,19.15497,-34.20066,24.4,1180.08609,0.4076303,15.70180311,321,1337032.14
2011,Protea,Houwhoek_2,19.17525,-34.20942,24.9,1221.750363,0.431317264,16.76132686,211,1431916.906
2011,Protea,Houwhoek_3,19.16504,-34.21185,24.9,1221.750363,0.431317264,16.76132686,253,1458997.507
